,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/04/17 03:00:00+00,0.700000,14.400000,13.900000,3.100000,77.900000,69.300000,4.400000,7.500000,111.700000,34.500000,28.700000,1.700000,29.600000,5.800000,1.100000,2.700000,0.700000,8.700000,2.500000,2.800000,1.600000,0.300000,1.200000,0,1,7.200000,0.700000,1.400000,1.400000,11.100000,0.200000,0,1.800000,1.600000,1.400000,0.500000,0,3.300000,12.900000,0.400000,2575
2020/04/17 04:00:00+00,0.800000,26.200000,19,2.200000,63.700000,69.100000,1.300000,3.200000,141.700000,39.200000,30,9.200000,17.800000,7.700000,1.100000,5.100000,0.700000,7.600000,1.700000,1.700000,2.200000,0.500000,1.800000,0.400000,3.900000,12.900000,1.300000,1.300000,0.800000,6.400000,0.300000,0,2.200000,1.600000,0.800000,0.500000,0.400000,5,19.400000,0.400000,2576
2020/04/17 05:00:00+00,0.400000,42.300000,24,6.800000,133.600000,113,0.900000,4.400000,219.500000,58,62.700000,15.400000,3.900000,15.900000,1.500000,15,0.700000,2.200000,1.900000,6.200000,3.800000,0.500000,2.400000,0.300000,2.300000,38.200000,0.800000,1.400000,1.800000,4.100000,0.300000,0,3.300000,1.700000,4.800000,2.300000,0,0.700000,46.500000,0.400000,2577
2020/04/17 06:00:00+00,0.900000,54.300000,16.500000,20.700000,71.700000,127.700000,1.700000,11.600000,303.700000,75,68.700000,32.800000,16.900000,28,5.900000,23.700000,0.700000,8.800000,3.800000,8.600000,16.100000,2.800000,6.800000,1.400000,7.800000,36.900000,0.800000,2.400000,2.900000,11.400000,0.600000,0,6.800000,2.300000,4.200000,2.700000,2.400000,12.900000,56.100000,3.600000,2578
2020/04/17 07:00:00+00,3,56.500000,13.100000,18.300000,57.100000,111.900000,4,16.700000,251.600000,82.400000,66.300000,36.200000,7.600000,31.200000,14.400000,24.100000,0.400000,5.200000,6.600000,13.600000,10.500000,9,13.400000,3,9.500000,29.700000,2.200000,6.200000,9.200000,23.100000,1.400000,0,11.600000,6.300000,12.900000,5.100000,3.100000,8.600000,60.600000,7,2579
2020/04/17 08:00:00+00,4.400000,36.600000,9.300000,23.700000,80,84.400000,4.500000,12.900000,71.900000,86.100000,55.300000,17.200000,10.700000,22.400000,7.600000,13.400000,3,7.600000,8,17.500000,5.500000,2.100000,10.600000,2.900000,5.700000,18.300000,3.200000,7.900000,11.500000,21.900000,0.700000,0.400000,16.300000,7.600000,11.400000,3.500000,2.600000,5.700000,65.300000,5.500000,2580
2020/04/17 09:00:00+00,10.700000,35.600000,3.900000,21.300000,52.900000,57.800000,9.800000,5.800000,63.100000,77.300000,54.900000,3.600000,21.500000,18.400000,2.500000,9.800000,5.900000,10.100000,4.200000,22.700000,5.800000,0.700000,9.800000,0.500000,3.600000,8.300000,3.600000,5.400000,7.800000,3.100000,0.900000,0.900000,14.700000,4.800000,18.300000,2.600000,4.200000,3.500000,31.800000,4.600000,2581
2020/04/17 10:00:00+00,4.100000,31.800000,2.500000,14.400000,50,45.300000,9.900000,3.200000,72.600000,54.700000,47,1.200000,7.100000,19.500000,1.600000,9.300000,5.600000,5.300000,3.100000,10.800000,5.300000,0.800000,12.800000,0.500000,2.400000,8,3.200000,2.800000,3.700000,4.300000,0.300000,0,4.700000,3,9.700000,2.800000,2.200000,1.900000,30.800000,3.800000,2582
2020/04/17 11:00:00+00,1.300000,33.600000,1.800000,9.600000,47.800000,36.600000,2.100000,1.500000,45.700000,34.100000,32,0,5.800000,8.700000,1.100000,3.100000,2.600000,2.400000,2.600000,3.100000,2.300000,0.400000,10.800000,0.300000,1.300000,2.200000,1.100000,1.500000,2.100000,1.900000,0.200000,0.100000,1.500000,2.300000,4.100000,1.700000,0.500000,0.400000,19.700000,1.600000,2583
2020/04/17 12:00:00+00,1,21.200000,0.700000,8.700000,45.300000,39.100000,1.500000,0.800000,35,52.100000,21.600000,0,4.200000,5,1.100000,1.700000,1.800000,1,2.800000,1.400000,1.300000,0.400000,2.400000,1.200000,1,1.300000,0.500000,1.700000,0.900000,1,0.100000,0,1.200000,1.500000,4.300000,0.500000,0.800000,0.200000,18,0.600000,2584
2020/04/17 13:00:00+00,0.900000,24.500000,0.600000,7.600000,48.900000,37.400000,0.800000,0.800000,28.300000,47.900000,20.600000,0,1.900000,4.300000,1.300000,1.300000,1.200000,1,3.100000,0.900000,1.400000,0.400000,1.100000,0.400000,0.800000,1,0.200000,1.900000,0.600000,1.100000,0.100000,0,0.800000,1.100000,2.600000,0.200000,0.500000,0.100000,16.700000,0.100000,2585
2020/04/17 14:00:00+00,0.500000,25.300000,1,10.800000,48.600000,24.900000,1.600000,0.500000,36,54.700000,19.900000,0,3.800000,2.100000,1.200000,1,0.800000,0.500000,2,0.400000,1.200000,0.400000,4.300000,0.300000,0.900000,0.700000,0.100000,1.600000,0.500000,0.300000,0,0,0.600000,1.300000,2.800000,0.200000,1.200000,0.100000,21.100000,0,2586
2020/04/17 15:00:00+00,0.700000,18.400000,4.300000,6.200000,43.800000,27,0.800000,0.400000,32.800000,45.900000,24.200000,0,3.400000,4,1.200000,1.100000,1.100000,0.500000,2.400000,0.200000,1.400000,0.400000,1.300000,0,0.900000,0.800000,0.100000,1.300000,,0.100000,0,0,0.300000,1.400000,2.500000,0.100000,0.400000,0,25.600000,0,2587
2020/04/17 16:00:00+00,0.200000,24,1.700000,9.200000,50.200000,32.200000,0.500000,0.200000,26,44.200000,30.300000,0,1.200000,2.500000,0.900000,0.800000,0.700000,0.900000,1.100000,0.400000,0.800000,0.500000,1,0,0.700000,0.500000,0.100000,1,0.100000,0.300000,0,0,0,1,1.600000,0.100000,0,0,23.700000,0,2588
2020/04/17 17:00:00+00,0.200000,16.600000,0.300000,7.800000,39.600000,35.200000,0.800000,0,27.800000,59.700000,25.500000,0,5.200000,2.700000,1,0.900000,0.500000,0.200000,1.100000,0.200000,0.700000,0.400000,0.700000,0,0.700000,0.500000,0,1.200000,0.100000,0,0,0,0.100000,1.100000,2.200000,0.100000,0,0,18.700000,0,2589
2020/04/17 18:00:00+00,0.200000,19.600000,1,7.200000,47.700000,29,0.900000,0,35.300000,58.200000,27.100000,0,8.700000,2.900000,0.600000,0.800000,0.600000,0,1.200000,0.200000,0.600000,0.300000,1.200000,0.300000,0.600000,0.600000,0.100000,0.800000,0,0,0.100000,0,0.200000,1.400000,0.800000,0.100000,0.500000,0,16.900000,0,2590
2020/04/17 19:00:00+00,0.200000,21.900000,1.200000,7.200000,39.200000,38.100000,0.200000,0,57.800000,60.400000,18.700000,0,13,3.900000,0.600000,0.200000,0.600000,0,2.100000,0,0.800000,0.100000,3.800000,0,0.300000,0.400000,0,0.700000,0,0.100000,0.100000,0,0,0.900000,0.900000,0,0.900000,0,17.300000,0,2591
2020/04/17 20:00:00+00,0.100000,31.400000,2.800000,7.400000,37,30.400000,0.300000,1.600000,116.600000,51.600000,32.200000,0,9.500000,2.500000,0.600000,1.200000,0.600000,0.400000,3.600000,0.100000,0.500000,0.200000,3.200000,0,0.800000,0.400000,0,0.800000,0,0,0.100000,0,0.400000,0.900000,1,0.200000,0.100000,0,19.800000,0,2592
2020/04/17 21:00:00+00,0.200000,20,8.700000,10.400000,30.400000,36.700000,0.600000,17,82.500000,20.600000,27.500000,0,42.300000,4.900000,1,4.200000,0.500000,0.500000,5.500000,0.700000,1.500000,0.300000,2.900000,0,1.900000,0.500000,0.100000,2.200000,0,0.200000,0.100000,0,0.800000,0.900000,0.400000,0.300000,0.300000,1.800000,37,0,2593
2020/04/17 22:00:00+00,0.800000,5.600000,19.100000,10.800000,21.400000,22.600000,0.100000,13.700000,72.700000,49.600000,20.300000,7.900000,55,7.600000,1.700000,0.600000,0.500000,0.600000,2,14.100000,1.100000,0.100000,0.800000,0,1,0.800000,0.200000,0.800000,0.600000,1.100000,0.200000,0,10,1.400000,1.600000,0.400000,0.800000,1.100000,46.900000,0,2594
2020/04/17 23:00:00+00,0.300000,9.500000,1.300000,4.600000,9.100000,17.500000,1,3.400000,42.100000,43.300000,7.800000,4.300000,15.900000,1.900000,0.500000,1.100000,0.700000,0.900000,2,1.100000,1.600000,0.100000,1,0,0.500000,0.700000,0.900000,0.900000,0.200000,0.600000,0.200000,0,6,1.200000,2.300000,0.100000,0.200000,0,15.300000,0,2595
2020/04/18 00:00:00+00,0.300000,3.600000,0.400000,1.400000,5.900000,14.500000,0.100000,0,8,15.900000,5.500000,0,1.600000,0.300000,0.300000,0.100000,0.700000,0.300000,1.800000,0.200000,1.200000,0,0.400000,0,0.600000,0.400000,0.100000,0.500000,0,0,0.200000,0,0.500000,0.900000,0,0.100000,0,0,3.800000,0,2596
2020/04/18 01:00:00+00,0.200000,4,0.100000,0.400000,11.200000,9.100000,0,0,2.600000,12.400000,4.100000,0,11.800000,0.200000,0.600000,0.100000,0.400000,0,2.800000,0,1,0.200000,0.300000,0,0.600000,0.400000,0,0.500000,0,0,0.200000,0,0,1.200000,0,0.100000,0.500000,0,2.500000,0,2597
2020/04/18 02:00:00+00,0.200000,4.100000,0.400000,0.400000,12.400000,7.700000,0,0,2.700000,17.400000,2.200000,0,5.500000,0.300000,0.400000,0,0.500000,0.700000,3.100000,0.100000,0.500000,0.100000,0.100000,0,0.500000,0.400000,0,0.500000,0,0,0.100000,0,0,1,0,0.100000,0,0,1.800000,0,2598
2020/04/18 03:00:00+00,0.100000,3.800000,0,0.900000,10.600000,8.700000,0.200000,0,4.900000,13.400000,2.900000,0,,0.200000,0.400000,0.100000,0.800000,0,2.700000,0,0.400000,0,0,0,0.400000,0.300000,0,0.400000,0,0,0.100000,0,0,0.900000,0,0,0,0,1.500000,0,2599
2020/04/18 04:00:00+00,0.100000,5.200000,0.100000,0.200000,25.900000,12.300000,0.100000,0,8.900000,22.500000,15.200000,0,,1.100000,0.400000,0.100000,0.600000,0,2.300000,0.100000,0.500000,0,0.200000,0.400000,0.500000,0.200000,0.100000,0.600000,0,0,0.100000,0,0,0.900000,0,0.200000,0,0,5.800000,0,2600
2020/04/18 05:00:00+00,0.200000,7.300000,0.900000,1.700000,27.600000,18.900000,0.200000,0,32.100000,38.200000,23,0,,2,0.600000,0.100000,0.500000,0.600000,2.400000,0,0.500000,0.100000,0.400000,0,0.400000,0.400000,0.100000,0.700000,0,0,0.300000,0,0,1,1.100000,0.100000,0,0,12.800000,0,2601
2020/04/18 06:00:00+00,0.500000,26.600000,0.700000,7.400000,43.600000,42.900000,0.400000,0,61.900000,42.300000,23.500000,0,,9.100000,0.800000,0.200000,1.100000,1.200000,3.600000,0.100000,0.600000,0.200000,1.400000,0,0.600000,0.500000,0.100000,0.300000,0,0.300000,0.300000,0,0.800000,1,0.800000,0.300000,0.300000,0.100000,23.700000,0,2602
2020/04/18 07:00:00+00,1,18,3.600000,6.700000,32.900000,36.900000,0.800000,0.900000,36.700000,77.300000,22,0.500000,,5.300000,2.400000,0.900000,0.700000,0.800000,5.500000,1.400000,3.300000,1.300000,2,0.200000,2.600000,0.700000,0.200000,2.100000,0.600000,3,0.500000,0,1.300000,2.400000,1.700000,0.300000,1.700000,0.900000,15,0,2603
2020/04/18 08:00:00+00,0.800000,20.800000,1.800000,5.300000,34.100000,21.200000,0.700000,0.100000,14.800000,63.700000,10.300000,0,,2.100000,2.500000,0.900000,1.100000,0.400000,5,2,2.800000,1.200000,1.500000,0.400000,1.400000,0.600000,0.300000,1.700000,1,0.600000,0.500000,0,1.800000,3.700000,1.300000,0.200000,1,0.800000,9.800000,0.100000,2604
2020/04/18 09:00:00+00,0.700000,17,1.300000,4.500000,30.400000,19,0.800000,0,15,48.900000,12.200000,0,,3,1.800000,0.600000,1.500000,0.200000,5.100000,0.700000,1.600000,0.900000,1.300000,1.200000,1.200000,0.700000,0.300000,1.600000,0.100000,0.800000,0.500000,0,1.600000,2.800000,1.200000,0.400000,1.100000,1.100000,6.400000,0.200000,2605
2020/04/18 10:00:00+00,0.600000,29.500000,1.300000,4.300000,23.300000,18.100000,0.800000,0,17.900000,61.500000,18.700000,0,,2.800000,1.500000,0.700000,0.900000,0.300000,5,0.700000,1.300000,0.900000,1.700000,3.100000,1.200000,0.700000,0.200000,1.600000,0.300000,0.800000,0.500000,0,1.200000,1.900000,1,0.200000,0.300000,0.300000,9.700000,0.100000,2606
2020/04/18 11:00:00+00,0.600000,20.300000,1.300000,4,25.900000,20.100000,1.700000,0,13.100000,61,17.100000,0,,1.300000,1.200000,0.300000,1.100000,0.800000,3.800000,0.300000,1.200000,0.500000,0.700000,4.900000,0.900000,0.500000,0.100000,1.100000,0,0.400000,0.400000,0,1,1.800000,0.900000,0.300000,0.200000,0.100000,9.500000,0,2607
2020/04/18 12:00:00+00,0.200000,19.900000,1.100000,4.200000,17.600000,8.700000,0.500000,0,13.500000,60.300000,15.800000,0,,3.200000,0.900000,0.300000,0.800000,0.300000,4,0.100000,0.300000,0.500000,1.700000,2.500000,0.600000,0.900000,0.200000,1.600000,0,0.300000,0.300000,0,0.400000,1.300000,0.700000,0.100000,0,0,6.200000,0,2608
2020/04/18 13:00:00+00,0.200000,19.100000,0.900000,4.200000,30.700000,6.600000,0.200000,0,13.600000,46.200000,19.300000,0,,2.400000,0.900000,0.400000,0.700000,0.100000,3.900000,0.300000,0.600000,0.300000,2,1.400000,0.800000,0.500000,0.100000,1.100000,0,0.200000,1.300000,1.300000,0.300000,1.400000,1.100000,0.100000,0,0,8.700000,0,2609
2020/04/18 14:00:00+00,0.300000,20.500000,0.600000,4,18.400000,4.700000,0.700000,0,14.200000,49.700000,17.700000,0,,2,0.500000,0.500000,0.800000,0.100000,3.400000,0.100000,0.800000,0.400000,0.900000,0.100000,0.600000,0.500000,0.100000,1.800000,0,0.400000,0.200000,0,0.300000,1.100000,1.100000,0.100000,0.100000,0.100000,8.100000,0,2610
2020/04/18 15:00:00+00,0.100000,18.400000,1,3.500000,24.100000,16.300000,0.600000,0,14.900000,49.300000,12.700000,0,,1.300000,0.800000,0.300000,1.200000,0.500000,4.500000,0.100000,0.200000,0.400000,1.200000,0.100000,0.600000,0.400000,0.100000,0.900000,0,0.100000,0.200000,0,0.500000,1.100000,0.600000,0.100000,0,0.200000,7.700000,0,2611
2020/04/18 16:00:00+00,0.200000,13.500000,0.900000,5.400000,22.500000,3.600000,0.400000,0,24,27.700000,21,0,,5.700000,0.800000,0.100000,0.500000,0.500000,4,0.300000,1.100000,0.200000,2,0.400000,0.700000,0.400000,0.200000,1.200000,0.200000,0.900000,0.100000,0.600000,0.600000,1.100000,0,0.200000,0,0.400000,4,0,2612
2020/04/18 17:00:00+00,0.200000,6.500000,2.900000,6.100000,24,1.900000,0.700000,0,42.200000,40.400000,23.500000,0,,4.500000,1.100000,0.300000,0.800000,0.900000,2.600000,0.300000,1,0.400000,1.800000,0,0.600000,0.600000,0.100000,2,0,0.700000,0.400000,0,0.200000,1.100000,0,0.300000,0.500000,0.100000,5,0,2613
2020/04/18 18:00:00+00,0.200000,23.900000,1.900000,5.900000,19.900000,15.500000,0.200000,0,15.500000,22.300000,15.100000,,,3.600000,1.200000,0.300000,0.600000,0.500000,2.400000,0.900000,0.900000,0.400000,1.900000,0,0.500000,0.600000,0.200000,0.900000,0.200000,0.800000,0.300000,0,0.200000,1.100000,0,0.300000,0.700000,0.200000,12.900000,0,2614
2020/04/18 19:00:00+00,0.100000,10.700000,1,2.900000,16,12.700000,0,0,29.100000,15.500000,14.300000,0,,4.200000,0.400000,0.500000,0.900000,0,1,0.300000,1.200000,0.300000,1.500000,0,0.800000,0.400000,0.100000,0.500000,0,0.200000,0.300000,0,0,1.300000,0.300000,0.100000,1,0,7.800000,0,2615
2020/04/18 20:00:00+00,0.300000,18.500000,0.300000,5,12.600000,14.100000,0.100000,0,29.200000,16,8.800000,0,,2.900000,0.600000,0.300000,0.800000,0,0.300000,0.100000,0.600000,0.200000,2.600000,0,0.500000,0.400000,0.100000,1.100000,0,0.200000,0.200000,0,0.100000,1.100000,1.500000,0.100000,0.300000,0,6.600000,0,2616
2020/04/18 21:00:00+00,0.100000,13.500000,2.500000,5.300000,19.800000,3.300000,0.100000,0,21.100000,20.400000,14.500000,0,,6.500000,1.100000,0.300000,0.800000,0.100000,0.500000,0.100000,6.600000,0.400000,1.400000,0,0.700000,0.300000,0.100000,0.600000,0,0.400000,0.200000,0,0.300000,1.500000,1.600000,0.400000,0.700000,0.100000,8.300000,0,2617
2020/04/18 22:00:00+00,0.200000,10.600000,5.100000,2.900000,15.100000,7.900000,0.800000,0.400000,24.800000,22.200000,12.100000,0,,3.800000,1.200000,0.400000,0.700000,0,0.700000,0.400000,1.900000,0.600000,1.400000,0,1.300000,0.200000,0.200000,0.500000,0.100000,0.200000,0.200000,0,0.900000,1.200000,0,0.500000,0.300000,0.300000,3.500000,0,2618
2020/04/18 23:00:00+00,0.200000,7,2.600000,3.400000,15,3.500000,0.300000,0.200000,18.600000,21.900000,9.200000,1.400000,,4.300000,1.500000,0.600000,0.900000,0,1.100000,0.400000,1.100000,0.500000,0.400000,0,0.700000,0.400000,0.200000,0.800000,0,0.500000,0.200000,0,0.800000,1.400000,0,0.300000,0.200000,0.600000,3.300000,0,2619
2020/04/19 00:00:00+00,0.200000,3.400000,0.900000,1.100000,2.400000,2.300000,0,0.100000,7.300000,8.400000,5.600000,0.300000,,1,1.100000,0.400000,0.800000,0.100000,1.600000,0.200000,1.100000,0.300000,0.600000,0,0.500000,0.300000,0.200000,0.500000,0,0.300000,0.200000,0,0.500000,1.300000,0,0.300000,0.800000,0,1.300000,0,2620
2020/04/19 01:00:00+00,0.100000,4.300000,0.700000,1,6.200000,0.900000,0,0,5.900000,7,3.300000,0,,0.500000,1,0.100000,0.900000,0,0.800000,0.100000,0.700000,0.200000,0.700000,0,0.700000,0.700000,0.200000,0.900000,0,0.200000,0.300000,0,0.400000,1.200000,0,0.500000,0,0,1.200000,0,2621
2020/04/19 02:00:00+00,,3.700000,0.300000,1,3.800000,0.800000,0,0,4.200000,5.400000,3.900000,0.200000,,0.600000,0.800000,0.200000,0.900000,1.600000,2.700000,0.200000,0.500000,0.200000,0.100000,0,0.900000,0.600000,0.100000,0.600000,0.100000,0.200000,0.300000,0,0,1.100000,0,0.400000,0,0,1.100000,0,2622
2020/04/19 03:00:00+00,0,3.100000,0.400000,1.200000,3.100000,0.700000,0,0,3.600000,3.700000,2.500000,0,,1.900000,0.700000,0.200000,0.900000,0,1.200000,0.200000,0.700000,0.100000,0.200000,0,0.800000,0.600000,0.200000,0.600000,0,0,0.400000,0,0.400000,1.100000,0.200000,0.400000,0,0,0.700000,0,2623
2020/04/19 04:00:00+00,0.200000,2.200000,0.100000,1,4.100000,2.700000,0,0,5.900000,5.800000,4.100000,,,3,0.600000,0.400000,0.600000,1.300000,1.500000,0.100000,0.600000,0.100000,0.300000,0,0.500000,0.400000,0.100000,0.500000,0,0,0.300000,0,0.400000,1.100000,0,0.400000,0,0,4.800000,0,2624
2020/04/19 05:00:00+00,0.200000,2.800000,0.100000,3.100000,4.900000,5.300000,0,0,8.800000,8.400000,6.900000,,,4.100000,1,0.600000,1.100000,0,1.800000,0,0.700000,0.100000,0.100000,0,0.800000,0.700000,0.100000,0.700000,0,0.500000,0.400000,0,0,0.900000,0,0.400000,0.100000,0,7,0,2625
2020/04/19 06:00:00+00,0.400000,4.400000,0.800000,3.600000,4.100000,6.800000,0.100000,0,16.500000,7.500000,9.700000,,,2.700000,0.800000,0.800000,0.800000,0.100000,1.200000,0.400000,1.300000,0.300000,0.600000,0,1.400000,0.600000,0.300000,1,0,1.500000,0.300000,0,0.600000,1,0,0.700000,0,0,3.600000,0,2626
2020/04/19 07:00:00+00,0.900000,3.600000,1,5.500000,5.600000,3.900000,0.300000,0.500000,11.500000,9,7.100000,,,5.800000,1.100000,1.400000,1.600000,0.100000,1.400000,1.200000,,0.400000,2.200000,0,0.600000,1.300000,0.600000,1,0.700000,1.500000,0.400000,0,1.200000,3.900000,0.200000,1.200000,0.400000,0.300000,4.500000,0.500000,2627
2020/04/19 08:00:00+00,1.300000,2.600000,2,4.400000,5.700000,6.100000,0.200000,0.600000,11.900000,9,6.800000,,,4.300000,1.300000,1.500000,2,0.500000,1.600000,1.500000,1.400000,1.200000,1.700000,0,1.200000,1.800000,0.600000,2.100000,1.300000,1.200000,0.500000,0,0.800000,2.100000,0.300000,1,1.600000,1,4.900000,0.900000,2628
2020/04/19 09:00:00+00,0.900000,7,1.100000,4.300000,14.100000,6.700000,0,0.400000,15.200000,10.400000,10.700000,,,5.800000,1.700000,1.600000,1.200000,0,1.900000,1.400000,1,1.400000,2.300000,0.900000,1.700000,1.300000,0.500000,2.400000,0.900000,0.900000,0.900000,0.200000,0.300000,1.500000,0,0.900000,0.900000,1,6.600000,0.900000,2629
2020/04/19 10:00:00+00,0.800000,6.600000,0.400000,3.700000,11.400000,5.900000,0,0.100000,13.700000,9,5,,,4,1.100000,1.300000,1.300000,0,2.400000,0.600000,1.300000,1,2.500000,0.400000,1.200000,0.800000,0.400000,1.400000,0.400000,1.300000,0.700000,0.300000,0.300000,1.400000,0,0.900000,0.300000,0.500000,6.700000,0.600000,2630
2020/04/19 11:00:00+00,0.500000,5.100000,1,3.200000,8.800000,6.700000,0,0.100000,12,9.600000,6.600000,,,3,0.900000,1.800000,1.300000,0.100000,1.600000,0.600000,1.300000,0.700000,1.100000,0.300000,0.800000,0.900000,0.300000,1.100000,0,1.200000,0.500000,0,0.200000,1.900000,0,0.600000,0.200000,0.200000,8.800000,0.300000,2631
2020/04/19 12:00:00+00,0.400000,4.700000,0.400000,4.400000,9.500000,5.900000,0,0.300000,22.200000,10.200000,9.600000,,,3.600000,0.900000,1.100000,0.800000,0.300000,0.800000,0.600000,0.700000,0.400000,1,0.200000,0.800000,0.600000,0.300000,1,0,0.800000,0.300000,0,0.300000,1.500000,0,0.100000,0.200000,0.100000,6.300000,0.400000,2632
2020/04/19 13:00:00+00,0.300000,10.400000,0.600000,3.300000,7.200000,7.100000,0,0,13.100000,12,6.700000,,,4.300000,0.600000,1.900000,1.100000,0,1.500000,0.900000,0.800000,0.300000,1.100000,0.100000,0.500000,0.600000,0.200000,0.800000,0.200000,0.400000,0.200000,0,0.100000,1.200000,0,0.300000,0.300000,0.100000,3.800000,0.300000,2633
2020/04/19 14:00:00+00,0.300000,10.700000,0.200000,2.900000,10.200000,5.800000,0,0,13.500000,9.400000,6,,,3,1,0.700000,1,0,1.500000,0.200000,0.800000,0.400000,0.600000,0,0.600000,0.400000,0.100000,0.900000,0,0.800000,0.200000,0,0.200000,1.200000,0.200000,0.200000,0.100000,0,4,0.200000,2634
2020/04/19 15:00:00+00,0.200000,7.700000,0.500000,3,9.500000,6.500000,0,0,16.100000,10.400000,6.400000,,,3.900000,0.700000,0.600000,0.900000,0,1.300000,0.600000,0.600000,0.300000,1.200000,0,0.300000,0.400000,0.100000,0.800000,0,0.700000,0.100000,0,0,1.100000,0,0.200000,0.200000,0,3.700000,0.200000,2635
2020/04/19 16:00:00+00,0.200000,6.300000,1.600000,3.900000,8.600000,6.700000,0,0,17.400000,10.500000,6.800000,,,4.600000,0.800000,1.100000,1.100000,0,0.800000,0.400000,0.700000,0.500000,1.400000,0,0.400000,0.400000,0.100000,0.600000,0,0.500000,0.100000,0,0.500000,1.300000,0,0.200000,0.100000,0,5,0.100000,2636
2020/04/19 17:00:00+00,0.500000,4.300000,0.400000,3.100000,11.900000,6.900000,0,0,28.800000,10.100000,7.200000,,,2.300000,0.600000,0.700000,0.800000,0,1.200000,0.200000,0.900000,0.500000,2.100000,0,0.400000,0.400000,0.100000,0.700000,0,0.300000,0.100000,0,0,1.300000,0,0.400000,0,0,3.800000,0.100000,2637
2020/04/19 18:00:00+00,0.100000,4.800000,0.600000,3.600000,8.300000,7.400000,0,0,20.100000,9.700000,8.100000,,,3.900000,0.500000,0.700000,1.200000,0,1.400000,0.500000,1,0.400000,1.300000,0,0.400000,0.500000,0.100000,1,0,0.700000,0.100000,0,0,1.200000,0,1.100000,0,0,5,0.100000,2638
2020/04/19 19:00:00+00,0.200000,14.800000,1.200000,3.100000,6.800000,6.900000,0,0,10.800000,11.100000,6.300000,,,3.700000,0.600000,0.700000,0.800000,0,1.700000,0.200000,0.700000,0.200000,1.400000,0,0.500000,0.300000,0.200000,0.800000,0,0.400000,0.100000,0,0,1,0,0.200000,0,0,3.900000,0,2639
2020/04/19 20:00:00+00,0.200000,8.600000,0.600000,3.200000,6.400000,5.300000,0,0,10.700000,7,7.100000,,,0.900000,0.400000,0.300000,0.800000,0,0.800000,0.200000,1,0.100000,1.200000,0,1.300000,0.500000,0.100000,0.700000,0,0.200000,0.100000,0,0,1,0,0.200000,0,0,3.200000,0,2640
2020/04/19 21:00:00+00,0.400000,7.200000,0.500000,3.400000,4.700000,5.300000,0,0,11.900000,6.600000,6.500000,,,3.700000,0.400000,0.400000,0.800000,0,1.100000,0,0.700000,0.200000,1,0,0.500000,0.400000,0.100000,0.600000,0,0.800000,0.200000,0,0,1.100000,0,0.200000,0,0,2.800000,0,2641
2020/04/19 22:00:00+00,0.100000,4.300000,0.400000,3.100000,5.600000,3.900000,0,0,10.300000,5.300000,4.100000,,,2.200000,0.500000,0.500000,0.700000,0,1.300000,0.100000,0.400000,0.300000,1,0,0.300000,0.300000,0.100000,0.600000,0.100000,0.300000,0.200000,0,0,1.100000,0,0.300000,0,0,2.800000,0,2642
2020/04/19 23:00:00+00,0.300000,5.600000,0.300000,2.100000,3.300000,5.300000,0,0.200000,10.500000,6.200000,3.900000,,,2.300000,0.700000,0.700000,0.800000,0,1.500000,0.500000,0.700000,0.300000,0.500000,0,0.500000,0.600000,0.200000,0.800000,0,0.200000,0.300000,0,0,1,0,0.300000,0,0.100000,4.400000,0,2643
2020/04/20 00:00:00+00,0.400000,2.600000,0.900000,1.200000,2,5.700000,0,0.600000,10.100000,4.900000,3,,2.200000,0.700000,0.600000,0.800000,0.900000,0,1.100000,0.200000,0.700000,0.200000,0.500000,0,0.500000,0.400000,0.100000,0.700000,0,0.400000,0.200000,0,0,1.200000,0,0.200000,0,0,4,0,2644
2020/04/20 01:00:00+00,0.300000,2,1.100000,1.500000,5.200000,6.800000,0,0.700000,13.600000,7.600000,3,,3.600000,0.800000,0.600000,0.400000,0.700000,0,1.200000,0.100000,0.600000,0.300000,0.700000,0,0.400000,0.400000,0.200000,0.800000,0,0.200000,0.300000,0,0,1.400000,0,0.400000,0,0,2.200000,0,2645
2020/04/20 02:00:00+00,0.200000,2.300000,0.300000,0.500000,7.200000,7.900000,0,0.500000,11.100000,7.500000,4.600000,,2.800000,1.900000,0.800000,0.400000,0.900000,0.100000,0.900000,0.100000,0.700000,0.400000,0.700000,0,0.600000,0.400000,0.200000,0.800000,0,0,0.200000,0,0.200000,1.300000,0,0.100000,0,0,2.600000,0,2646
2020/04/20 03:00:00+00,0.100000,7.400000,0.800000,1,15,17.200000,0.300000,0.700000,17.600000,13.900000,12.300000,,1.300000,1.800000,0.700000,0.500000,0.600000,0,0.600000,0.200000,0.800000,0.400000,1,0,1.400000,0.600000,0.200000,0.700000,0.500000,0.100000,0.300000,0.200000,0,1.100000,0,0.200000,0,0,3.800000,0,2647
